gene_seq,gene,background,signal,nprobe,signalxnprobe,cum_signal,cum_signalxnprobe,program,cum_signal_norm,cum_signal_nprobe_norm
121,nat8,0.0,0.03795213161136503,1.0,0.03795213161136503,59.52176895883635,59.52176895883635,0,6.037050522505283,6.037050522505283
0,chn1,,16.98604006171882,1.0,16.98604006171882,16.98604006171882,16.98604006171882,1,1.0,1.0
1,olfm1,,16.834134690423095,1.0,16.834134690423095,33.82017475214192,33.82017475214192,1,1.991057046213021,1.991057046213021
2,ywhah,,14.697374246805717,1.0,14.697374246805717,48.51754899894763,48.51754899894763,1,2.8563190021134406,2.8563190021134406
3,cck,,12.269505761548892,1.0,12.269505761548892,60.787054760496524,60.787054760496524,1,3.5786477919295256,3.5786477919295256
4,fkbp1a,,10.840970893853576,1.0,10.840970893853576,71.6280256543501,71.6280256543501,1,4.216876057873964,4.216876057873964
5,dynll1,,9.732460329363882,1.0,9.732460329363882,81.36048598371397,81.36048598371397,1,4.789844230208479,4.789844230208479
6,snca,,9.70957533680713,1.0,9.70957533680713,91.0700613205211,91.0700613205211,1,5.361465120158542,5.361465120158542
7,ywhaz,,9.566208585423206,1.0,9.566208585423206,100.63626990594432,100.63626990594432,1,5.924645740872044,5.924645740872044
8,ppp3r1,,9.355814958964727,1.0,9.355814958964727,109.99208486490905,109.99208486490905,1,6.475440094645516,6.475440094645516
9,ppp3ca,,9.212959100779022,1.0,9.212959100779022,119.20504396568806,119.20504396568806,1,7.01782425642211,7.01782425642211
10,tagln3,,7.965657431274939,1.0,7.965657431274939,127.170701396963,127.170701396963,1,7.4867774322259875,7.4867774322259875
11,arpp19,,7.581867183734629,1.0,7.581867183734629,134.7525685806976,134.7525685806976,1,7.933136157166344,7.933136157166344
12,mef2c,,7.331795068103577,1.0,7.331795068103577,142.0843636488012,142.0843636488012,1,8.36477266817559,8.36477266817559
13,tuba4a,,7.237926297038292,1.0,7.237926297038292,149.3222899458395,149.3222899458395,1,8.790882948778911,8.790882948778911
14,ldha,,6.735988750437101,1.0,6.735988750437101,156.05827869627657,156.05827869627657,1,9.187443225686412,9.187443225686412
15,mapk1,,6.497981380879618,1.0,6.497981380879618,162.5562600771562,162.5562600771562,1,9.56999156286619,9.56999156286619
16,itm2c,,6.23450450702599,1.0,6.23450450702599,168.7907645841822,168.7907645841822,1,9.937028522885882,9.937028522885882
17,rgs4,,6.2139811150200615,1.0,6.2139811150200615,175.00474569920226,175.00474569920226,1,10.30285723236976,10.30285723236976
18,nrgn,,6.020306652978323,1.0,6.020306652978323,181.02505235218058,181.02505235218058,1,10.657283963444428,10.657283963444428
19,prkcb,,5.89593326787576,1.0,5.89593326787576,186.92098562005634,186.92098562005634,1,11.004388600337597,11.004388600337597
20,pak1,,5.661066473816904,1.0,5.661066473816904,192.58205209387324,192.58205209387324,1,11.337666189066189,11.337666189066189
21,tspan13,,5.397588429111408,1.0,5.397588429111408,197.97964052298465,197.97964052298465,1,11.655432331704453,11.655432331704453
22,atp2b1,,5.369578235254008,1.0,5.369578235254008,203.34921875823866,203.34921875823866,1,11.971549461756169,11.971549461756169
23,basp1,,5.325101312080615,1.0,5.325101312080615,208.67432007031928,208.67432007031928,1,12.28504815201781,12.28504815201781
24,hpca,,5.133885063918977,1.0,5.133885063918977,213.80820513423825,213.80820513423825,1,12.587289583526566,12.587289583526566
25,arpp21,,4.868944437384785,1.0,4.868944437384785,218.67714957162303,218.67714957162303,1,12.873933464012744,12.873933464012744
26,ensa,,4.8343058754975,1.0,4.8343058754975,223.51145544712054,223.51145544712054,1,13.158538107468903,13.158538107468903
27,r3hdm1,,4.697267713303318,1.0,4.697267713303318,228.20872316042386,228.20872316042386,1,13.435075057590048,13.435075057590048
28,gpm6b,,4.471956576783233,1.0,4.471956576783233,232.6806797372071,232.6806797372071,1,13.698347519007447,13.698347519007447
29,camk2n1,,4.382750506212838,1.0,4.382750506212838,237.06343024341993,237.06343024341993,1,13.956368251932135,13.956368251932135
30,osbpl1a,,4.366223448681466,1.0,4.366223448681466,241.4296536921014,241.4296536921014,1,14.213416006018242,14.213416006018242
31,brk1,,4.296109224496326,1.0,4.296109224496326,245.72576291659772,245.72576291659772,1,14.466336004374917,14.466336004374917
32,1110008p14rik,,4.2302775237426005,1.0,4.2302775237426005,249.9560404403403,249.9560404403403,1,14.715380367179423,14.715380367179423
33,nrn1,,4.205286319554163,1.0,4.205286319554163,254.16132675989448,254.16132675989448,1,14.962953450974956,14.962953450974956
34,hpcal4,,3.9711593439210824,1.0,3.9711593439210824,258.13248610381555,258.13248610381555,1,15.196743041102605,15.196743041102605
35,ctxn1,,3.750171524516389,1.0,3.750171524516389,261.8826576283319,261.8826576283319,1,15.41752266430437,15.41752266430437
36,grin2b,,3.5897060199766258,1.0,3.5897060199766258,265.47236364830854,265.47236364830854,1,15.628855382638568,15.628855382638568
37,tusc3,,3.514927171313268,1.0,3.514927171313268,268.9872908196218,268.9872908196218,1,15.835785730061614,15.835785730061614
38,sh3gl2,,3.3619216122701103,1.0,3.3619216122701103,272.34921243189194,272.34921243189194,1,16.033708353583904,16.033708353583904
39,egr1,,3.350538966098519,1.0,3.350538966098519,275.69975139799044,275.69975139799044,1,16.23096085940188,16.23096085940188
40,syt5,,3.34886911531705,1.0,3.34886911531705,279.04862051330747,279.04862051330747,1,16.428115057976054,16.428115057976054
41,rtn4,,3.3391389814569044,1.0,3.3391389814569044,282.3877594947644,282.3877594947644,1,16.6246964253415,16.6246964253415
42,slc17a7,,3.3126438308321164,1.0,3.3126438308321164,285.70040332559654,285.70040332559654,1,16.819717973553775,16.819717973553775
43,arpc3,,3.148665799396715,1.0,3.148665799396715,288.84906912499326,288.84906912499326,1,17.005085827859784,17.005085827859784
44,atp2b2,,3.085094820389854,1.0,3.085094820389854,291.9341639453831,291.9341639453831,1,17.186711139538087,17.186711139538087
45,pgm2l1,,3.0122297969021607,1.0,3.0122297969021607,294.94639374228524,294.94639374228524,1,17.364046750778684,17.364046750778684
46,sh3bgrl3,,2.808407162513005,1.0,2.808407162513005,297.75480090479823,297.75480090479823,1,17.529382941692436,17.529382941692436
47,stmn4,,2.807456302101945,1.0,2.807456302101945,300.5622572069002,300.5622572069002,1,17.694663153672455,17.694663153672455
48,pdp1,,2.7882209914946188,1.0,2.7882209914946188,303.3504781983948,303.3504781983948,1,17.858810946881675,17.858810946881675
49,fbxw7,,2.6118857794961037,1.0,2.6118857794961037,305.9623639778909,305.9623639778909,1,18.012577555815003,18.012577555815003
50,wasf1,,2.5766001469839837,1.0,2.5766001469839837,308.5389641248749,308.5389641248749,1,18.164266833458402,18.164266833458402
51,pde1a,,2.5157316860171854,1.0,2.5157316860171854,311.0546958108921,311.0546958108921,1,18.312372670774003,18.312372670774003
52,baiap2,,2.5140028734430278,1.0,2.5140028734430278,313.5686986843351,313.5686986843351,1,18.460376729654612,18.460376729654612
53,atl1,,2.508739962412501,1.0,2.508739962412501,316.0774386467476,316.0774386467476,1,18.608070951103343,18.608070951103343
54,sept8,,2.477308507047948,1.0,2.477308507047948,318.5547471537956,318.5547471537956,1,18.753914743891222,18.753914743891222
55,3110035e14rik,,2.475112201404175,1.0,2.475112201404175,321.02985935519973,321.02985935519973,1,18.899629236051304,18.899629236051304
56,ephx4,,2.440283148156822,1.0,2.440283148156822,323.47014250335656,323.47014250335656,1,19.04329327659813,19.04329327659813
57,dusp14,,2.4300041086638937,1.0,2.4300041086638937,325.9001466120204,325.9001466120204,1,19.186352170833306,19.186352170833306
58,brinp1,,2.420989614117685,1.0,2.420989614117685,328.3211362261381,328.3211362261381,1,19.328880364886835,19.328880364886835
59,stx1a,,2.3760185955475057,1.0,2.3760185955475057,330.6971548216856,330.6971548216856,1,19.46876103082865,19.46876103082865
60,ptk2b,,2.3713282596339775,1.0,2.3713282596339775,333.0684830813196,333.0684830813196,1,19.608365567908375,19.608365567908375
61,crip2,,2.296586278858161,1.0,2.296586278858161,335.36506936017776,335.36506936017776,1,19.743569904558562,19.743569904558562
62,rasgrp1,,2.2023315951043756,1.0,2.2023315951043756,337.56740095528215,337.56740095528215,1,19.873225291399887,19.873225291399887
63,pcsk2,,2.1644059930980073,1.0,2.1644059930980073,339.73180694838015,339.73180694838015,1,20.000647927001452,20.000647927001452
64,neurod6,,2.083299389023786,1.0,2.083299389023786,341.81510633740396,341.81510633740396,1,20.123295664876444,20.123295664876444
65,cap2,,2.057126781868108,1.0,2.057126781868108,343.8722331192721,343.8722331192721,1,20.244402572336543,20.244402572336543
