,x,y,leiden,QC,n_genes,normalize_total,class
5340,6531.387597,12255.96124,6,cell,53,5274.7285,Excitatory neurons 3
5341,6874.304813,12257.48663,6,cell,53,7732.6953,Excitatory neurons 3
5343,7366.362069,12258.2931,6,cell,53,5552.906,Excitatory neurons 3
5344,6612.486239,12263.5474,10,cell,53,8910.486,Mature oligodendrocytes 2
5345,7448.943548,12260.29032,1,cell,53,12159.855,Astrocytes
5346,6414.666667,12261.63194,10,cell,53,6079.9575,Mature oligodendrocytes 2
5348,7233.956204,12263.55474,0,cell,53,10504.364,Inhibitory neurons 1
5349,6461.762626,12265.02525,4,cell,53,6352.1265,Endothelial cells
5350,6565.238889,12267.61667,1,cell,53,3910.0337,Astrocytes
5351,6954.817204,12266.05376,2,cell,53,13996.3125,Mature oligodendrocytes 1
5352,6936.130435,12268.04348,11,cell,53,3723.6812,Microglia
5353,7247.374302,12269.13408,0,cell,53,10996.453,Inhibitory neurons 1
5354,6639.01,12268.87,7,cell,53,7761.04,Blood vessel associated cells
5355,6686.005988,12268.94012,0,cell,53,10649.155,Inhibitory neurons 1
5356,6979.697368,12269.42763,0,cell,53,7055.0723,Inhibitory neurons 1
5358,7214.342593,12269.01852,1,cell,53,8116.13,Astrocytes
5360,6825.846154,12270.23077,0,cell,53,12742.939,Inhibitory neurons 1
5361,6364.308219,12272.93151,0,cell,53,8238.603,Inhibitory neurons 1
5362,7055.572519,12275.21374,1,cell,53,3331.4888,Astrocytes
5363,7446.590909,12273.0303,1,cell,53,16998.334,Astrocytes
5364,7032.554455,12275.42574,4,cell,53,3153.5645,Endothelial cells
5365,7235.565789,12276.30921,2,cell,53,12687.828,Mature oligodendrocytes 1
5366,6710.24359,12278.62821,0,cell,53,8433.864,Inhibitory neurons 1
5367,7066.492958,12276.3662,0,cell,53,8493.985,Inhibitory neurons 1
5368,6609.780645,12280.2,0,cell,53,6443.8003,Inhibitory neurons 1
5369,7451.798507,12281.29104,7,cell,53,9043.292,Blood vessel associated cells
5370,7177.016529,12282.57025,0,cell,53,13665.728,Inhibitory neurons 1
5371,6445.360656,12283.91803,0,cell,53,5084.8115,Inhibitory neurons 1
5372,6645.377778,12282.3,1,cell,53,4070.811,Astrocytes
5373,6981.118881,12284.27273,6,cell,53,8731.0205,Excitatory neurons 3
5374,7507.240876,12285.63504,11,cell,52,1477.9927,Microglia
5375,6468.613445,12288.67227,0,cell,53,3482.706,Inhibitory neurons 1
5376,6837.910714,12287.66071,6,cell,53,4136.2505,Excitatory neurons 3
5377,6950.564103,12288.07692,1,cell,53,4772.975,Astrocytes
5378,6378.165138,12292.05505,6,cell,53,3857.9082,Excitatory neurons 3
5379,6407.789474,12290.15789,4,cell,53,1734.6,Endothelial cells
5380,6520.983871,12289.30645,0,cell,53,7543.1284,Inhibitory neurons 1
5381,7407.690476,12294.45238,0,cell,53,15199.781,Inhibitory neurons 1
5382,7017.0,12296.54167,4,cell,53,2173.25,Endothelial cells
5383,6452.0,12297.0,0,cell,53,8137.329,Inhibitory neurons 1
5384,6671.128205,12296.15385,0,cell,53,12096.103,Inhibitory neurons 1
5385,6730.647059,12296.92941,0,cell,53,11845.26,Inhibitory neurons 1
5386,6983.359712,12304.91727,0,cell,53,8813.386,Inhibitory neurons 1
5387,6513.205882,12302.51471,0,cell,53,12157.154,Inhibitory neurons 1
5388,7328.606383,12300.54255,4,cell,53,3192.8408,Endothelial cells
5389,6754.133333,12306.41905,0,cell,53,13155.1,Inhibitory neurons 1
5390,7429.0,12304.18072,0,cell,53,16138.663,Inhibitory neurons 1
5391,7062.405229,12305.94771,10,cell,53,13217.026,Mature oligodendrocytes 2
5392,6482.4,12309.77692,0,cell,53,7499.7695,Inhibitory neurons 1
5393,6716.0,12306.22807,2,cell,53,14130.544,Mature oligodendrocytes 1
5394,6596.867816,12312.71264,6,cell,53,7054.1953,Excitatory neurons 3
5395,6667.5,12310.08491,0,cell,53,8776.999,Inhibitory neurons 1
5396,7039.8,12309.38,0,cell,53,9278.029,Inhibitory neurons 1
5397,6689.232877,12313.66438,8,cell,53,2675.1985,Unknown
5398,7495.881279,12316.08219,8,cell,53,2511.9043,Unknown
5399,6414.879195,12315.71141,0,cell,53,5481.591,Inhibitory neurons 1
5400,7442.929936,12319.03185,7,cell,53,6344.3823,Blood vessel associated cells
5401,6904.826087,12316.06522,4,cell,53,5531.108,Endothelial cells
5402,7060.951872,12319.98396,0,cell,53,16515.604,Inhibitory neurons 1
5403,6721.027933,12320.24581,0,cell,53,8467.24,Inhibitory neurons 1
5404,6615.858025,12328.08642,0,cell,53,8832.574,Inhibitory neurons 1
5405,7428.097561,12327.28049,0,cell,53,12683.902,Inhibitory neurons 1
5406,6655.063063,12326.06306,0,cell,53,12833.361,Inhibitory neurons 1
