,x,y,leiden,QC
460,5838.088608,12847.55696,34,cell
461,6111.452174,12851.13913,24,cell
462,6218.061538,12844.55385,3,cell
463,5998.294444,12853.99444,24,cell
464,6078.52381,12851.20952,24,cell
465,6187.124088,12850.77372,24,cell
466,5108.836364,12851.46364,5,cell
467,5970.90625,12848.9375,3,cell
468,6130.938776,12851.66327,24,cell
469,6061.22,12854.87,24,cell
470,5780.345794,12856.36449,3,cell
471,5805.946154,12858.58462,23,cell
472,5849.615385,12855.46154,23,cell
473,6036.9,12857.90909,24,cell
474,6324.828283,12857.45455,4,cell
475,5259.670732,12857.7561,4,cell
476,6017.738372,12860.30233,24,cell
477,6071.173913,12858.92174,24,cell
478,5088.639175,12860.74227,4,cell
479,5826.931818,12859.04545,16,cell
480,6052.029412,12861.97794,24,cell
481,6126.705882,12862.92157,24,cell
482,6162.731225,12865.07115,24,cell
483,6179.952965,12871.12474,24,cell
484,5401.050725,12870.08454,33,cell
485,5442.364078,12867.43204,34,cell
486,5530.56383,12862.84043,23,cell
487,6314.72549,12860.27451,9,cell
488,5374.897727,12867.55682,20,cell
489,5639.291667,12865.91667,32,cell
490,5131.475,12866.3125,12,cell
491,6112.893617,12869.44681,24,cell
492,5999.145062,12873.39815,24,cell
493,6210.630252,12868.61345,3,cell
494,5508.291667,12870.55556,4,cell
495,6048.571429,12873.5119,24,cell
496,6086.93578,12875.92202,24,cell
497,6199.466667,12871.66667,3,cell
498,5457.561728,12882.54321,24,cell
499,6155.523316,12878.90155,24,cell
500,5803.402778,12880.94444,23,cell
501,5668.512821,12878.74359,1,cell
502,5232.414747,12884.17512,7,cell
503,5574.223022,12881.82734,7,cell
504,5338.415094,12881.15094,4,cell
505,6021.170543,12882.90698,24,cell
506,5950.663043,12882.91304,3,cell
507,5989.923841,12887.64901,24,cell
508,6193.440806,12889.23426,24,cell
509,5411.950249,12888.74627,4,cell
510,6110.954545,12888.21818,3,cell
511,5668.889655,12890.44138,12,cell
512,6008.489362,12887.82979,24,cell
513,5313.035714,12888.44643,5,cell
514,5966.107843,12891.78431,3,cell
515,5682.797753,12891.41573,12,cell
516,5475.184783,12892.75,4,cell
517,6021.348837,12893.86047,24,cell
518,5178.926606,12893.46789,4,cell
519,5641.353147,12900.08392,20,cell
520,6178.248227,12896.65957,24,cell
521,6312.346774,12898.07258,23,cell
522,5229.626263,12901.68687,5,cell
523,5540.051724,12900.89655,3,cell
524,5987.668122,12904.00437,24,cell
525,5796.938356,12902.52055,23,cell
526,6206.604478,12905.41045,24,cell
527,5375.413793,12901.55172,25,cell
528,5255.666667,12904.82857,4,cell
529,5671.418182,12906.04545,3,cell
530,6052.833333,12904.88889,3,cell
531,5690.777778,12910.42222,12,cell
532,5973.063218,12908.72989,24,cell
533,5782.478873,12911.3169,23,cell
534,6026.867089,12911.41772,24,cell
535,6008.293948,12917.56484,24,cell
536,5935.954198,12915.0916,23,cell
537,6197.0,12913.71111,24,cell
538,6188.64557,12917.67089,24,cell
539,5296.127517,12918.63087,25,cell
540,5446.621053,12919.8,4,cell
541,5981.216,12921.616,24,cell
542,6178.327586,12920.2931,24,cell
543,5364.480874,12925.96175,4,cell
544,6046.262774,12923.9781,24,cell
545,6326.108844,12926.97279,25,cell
546,5144.726027,12923.30137,4,cell
547,5382.1,12924.84545,4,cell
548,5554.42,12924.44,23,cell
549,5995.699571,12930.25751,24,cell
550,5490.995495,12931.64414,7,cell
551,5926.818182,12925.98485,12,cell
552,6271.197368,12929.875,24,cell
553,5245.217391,12929.65217,5,cell
554,6199.051724,12928.31034,24,cell
555,6216.48,12928.94667,24,cell
556,6020.147436,12931.79487,24,cell
557,5528.740351,12937.07368,4,cell
558,6106.437086,12933.68874,3,cell
559,6287.462185,12931.70588,24,cell
560,5502.668293,12936.2,4,cell
561,5207.188525,12936.96721,3,cell
562,6047.320197,12938.49261,24,cell
563,5715.651685,12936.8764,3,cell
564,5355.897436,12941.17949,4,cell
565,5985.884,12947.832,24,cell
566,6004.984252,12942.0,24,cell
567,5953.566667,12940.2,3,cell
568,6219.578947,12942.74561,24,cell
569,5490.480874,12948.62842,4,cell
570,5976.331034,12947.37931,24,cell
571,6263.550388,12948.29845,24,cell
572,5335.5,12944.5,3,cell
573,5156.259843,12951.70079,28,cell
574,5503.595238,12953.20238,28,cell
575,5955.214724,12954.31902,3,cell
576,6005.586538,12952.92308,24,cell
577,5684.712575,12956.35329,3,cell
578,6227.532787,12954.59016,24,cell
579,5175.681159,12957.72464,4,cell
580,5820.323308,12960.62406,23,cell
581,5455.66129,12961.08065,3,cell
582,5969.968,12960.512,24,cell
583,5990.114458,12962.21687,24,cell
584,6336.19573,12965.02135,34,cell
585,5667.884507,12967.01408,7,cell
586,6010.692913,12963.94488,24,cell
587,5944.220588,12962.92647,3,cell
588,5435.748148,12965.72593,23,cell
589,5731.958042,12965.95105,23,cell
590,5808.142857,12966.4812,23,cell
591,5092.0,12965.94805,23,cell
592,6244.459459,12972.15444,24,cell
593,6302.262626,12967.08081,3,cell
594,5761.686275,12968.81699,7,cell
595,6022.081967,12968.45902,20,cell
596,5969.117834,12971.50318,24,cell
597,5931.935185,12972.23148,3,cell
598,6009.862559,12977.81991,24,cell
599,6213.460227,12977.88636,3,cell
600,5452.948553,12977.92926,7,cell
601,5499.949045,12979.90446,3,cell
602,5757.0,12979.16197,4,cell
603,6226.589744,12978.79487,3,cell
604,6260.326087,12977.52174,24,cell
605,5528.005714,12980.76,4,cell
606,5998.266968,12984.21267,24,cell
607,6270.935714,12989.49524,24,cell
